Price,Manufacturer,Model,Horse Power,Mileage,Transmission,Fuel,Posting Month,Posting Year,Age,country_of_origin
85000.0,MG,ZS,7.0,11000.0,Automatic,Gasoline,April,2023,2,United Kingdom
61000.0,MG,GS AWD,13.0,100000.0,Automatic,Gasoline,February,2024,7,United Kingdom
36500.0,MG,GT,6.0,191000.0,Manual,Gasoline,February,2024,7,United Kingdom
85000.0,MG,6,9.0,20000.0,Automatic,Gasoline,February,2024,3,United Kingdom
53000.0,MG,5,6.0,23000.0,Manual,Gasoline,February,2024,3,United Kingdom
68000.0,MG,ZS,7.0,40000.0,Automatic,Gasoline,February,2024,5,United Kingdom
73000.0,MG,ZS,7.0,27000.0,Manual,Gasoline,February,2024,2,United Kingdom
83500.0,MG,6,9.0,30000.0,Automatic,Gasoline,February,2024,2,United Kingdom
55000.0,MG,ZS,7.0,95000.0,Manual,Gasoline,February,2024,5,United Kingdom
72000.0,MG,ZS,7.0,79000.0,Automatic,Gasoline,February,2024,4,United Kingdom
76900.0,MG,ZS,7.0,28000.0,Automatic,Gasoline,February,2024,3,United Kingdom
58000.0,MG,GS,9.0,160000.0,Automatic,Gasoline,February,2024,7,United Kingdom
80000.0,MG,ZS,7.0,30000.0,Automatic,Gasoline,February,2024,2,United Kingdom
171950.0,MG,HS,15.0,18000.0,Automatic,Gasoline,February,2024,2,United Kingdom
54000.0,MG,GS,13.0,58000.0,Automatic,Gasoline,February,2024,7,United Kingdom
65000.0,MG,GS,9.0,100000.0,Automatic,Gasoline,February,2024,6,United Kingdom
70000.0,MG,ZS,7.0,60000.0,Automatic,Gasoline,February,2024,4,United Kingdom
62000.0,MG,GS AWD,9.0,115000.0,Automatic,Gasoline,February,2024,7,United Kingdom
68000.0,MG,ZS,7.0,97000.0,Automatic,Gasoline,February,2024,3,United Kingdom
72000.0,MG,ZS,7.0,60000.0,Automatic,Gasoline,February,2024,4,United Kingdom
55000.0,MG,5,7.0,98000.0,Automatic,Gasoline,January,2024,2,United Kingdom
60000.0,MG,ZS LUXURY,7.0,123000.0,Automatic,Gasoline,February,2024,6,United Kingdom
133500.0,MG,EHS SUV,7.0,48000.0,Automatic,Hybrid,February,2024,2,United Kingdom
53000.0,MG,ZS,7.0,140000.0,Manual,Gasoline,February,2024,5,United Kingdom
59000.0,MG,5,7.0,20000.0,Automatic,Gasoline,February,2024,2,United Kingdom
13000.0,CHRYSLER,VOYAGER,8.0,290000.0,Manual,Diesel,May,2023,24,United States
80000.0,LAND ROVER,RANGE ROVER,15.0,220000.0,Automatic,Gasoline,November,2023,12,United Kingdom
32500.0,LAND ROVER,FREELANDER,7.0,77000.0,Manual,Gasoline,November,2023,5,United Kingdom
95000.0,LAND ROVER,RANGE ROVER SPORT,15.0,240000.0,Automatic,Gasoline,November,2023,12,United Kingdom
69000.0,LAND ROVER,RANGE ROVER,23.0,185000.0,Automatic,Gasoline,November,2023,17,United Kingdom
90000.0,LAND ROVER,RANGE ROVER SPORT,15.0,270000.0,Automatic,Diesel,November,2023,14,United Kingdom
95000.0,LAND ROVER,RANGE ROVER,15.0,240000.0,Automatic,Gasoline,December,2023,12,United Kingdom
75000.0,LAND ROVER,DEFENDER,8.0,190000.0,Manual,Diesel,October,2023,18,United Kingdom
67000.0,LAND ROVER,RANGE ROVER,23.0,200000.0,Automatic,Gasoline,August,2023,18,United Kingdom
132000.0,LAND ROVER,DISCOVERY,11.0,108000.0,Automatic,Diesel,February,2024,9,United Kingdom
199000.0,LAND ROVER,RANGE ROVER EVOQUE R-DYNAMIC,12.0,77000.0,Automatic,Gasoline,February,2024,4,United Kingdom
118000.0,LAND ROVER,DISCOVERY SPORT,8.0,94000.0,Automatic,Diesel,February,2024,8,United Kingdom
115000.0,LAND ROVER,RANGE ROVER EVOQUE,15.0,138000.0,Automatic,Gasoline,February,2024,8,United Kingdom
245000.0,LAND ROVER,RANGE ROVER SPORT,15.0,160000.0,Automatic,Diesel,February,2024,10,United Kingdom
358000.0,LAND ROVER,RANGE ROVER EVOQUE R-DYNAMIC,9.0,0.0,Automatic,Diesel,February,2024,0,United Kingdom
748000.0,LAND ROVER,RANGE ROVER SPORT HSE-DYNAMIC,28.0,0.0,Automatic,Hybrid,February,2024,0,United Kingdom
155000.0,LAND ROVER,RANGE ROVER EVOQUE,15.0,104000.0,Automatic,Gasoline,February,2024,8,United Kingdom
238000.0,LAND ROVER,RANGE ROVER SPORT HSE,24.0,90000.0,Automatic,Gasoline,February,2024,10,United Kingdom
170000.0,LAND ROVER,RANGE ROVER EVOQUE,8.0,34000.0,Automatic,Diesel,February,2024,6,United Kingdom
69000.0,LAND ROVER,DISCOVERY LR3 HSE,23.0,185000.0,Automatic,Gasoline,February,2024,17,United Kingdom
385000.0,LAND ROVER,RANGE ROVER SPORT HSE P400E,17.0,40000.0,Automatic,Hybrid,February,2024,4,United Kingdom
285000.0,LAND ROVER,RANGE ROVER EVOQUE SE P300E,9.0,6000.0,Automatic,Hybrid,February,2024,1,United Kingdom
350000.0,LAND ROVER,RANGE ROVER VELAR,11.0,56000.0,Automatic,Diesel,February,2024,5,United Kingdom
88000.0,LAND ROVER,RANGE ROVER SPORT,13.0,196000.0,Automatic,Diesel,February,2024,16,United Kingdom
155000.0,LAND ROVER,DISCOVERY SPORT,9.0,117000.0,Automatic,Diesel,February,2024,8,United Kingdom
238000.0,LAND ROVER,RANGE ROVER SPORT HSE,24.0,90000.0,Automatic,Gasoline,February,2024,8,United Kingdom
295000.0,LAND ROVER,RANGE ROVER VELAR DYNAMIQUE,11.0,90000.0,Automatic,Gasoline,February,2024,4,United Kingdom
297000.0,LAND ROVER,RANGE ROVER SPORT SPORT,19.0,79000.0,Automatic,Diesel,February,2024,7,United Kingdom
122000.0,LAND ROVER,RANGE ROVER EVOQUE,11.0,145000.0,Automatic,Diesel,February,2024,8,United Kingdom
210000.0,LAND ROVER,RANGE ROVER EVOQUE,8.0,49000.0,Automatic,Hybrid,February,2024,5,United Kingdom
280000.0,LAND ROVER,RANGE ROVER EVOQUE,9.0,18000.0,Automatic,Hybrid,February,2024,2,United Kingdom
145000.0,LAND ROVER,RANGE ROVER EVOQUE,8.0,160000.0,Automatic,Diesel,February,2024,7,United Kingdom
310000.0,LAND ROVER,RANGE ROVER VELAR R-DYNAMIC,19.0,100000.0,Automatic,Diesel,February,2024,5,United Kingdom
270000.0,LAND ROVER,RANGE ROVER VELAR R-DYNAMIC,11.0,103000.0,Automatic,Diesel,February,2024,4,United Kingdom
75000.0,LAND ROVER,DEFENDER 110,8.0,190000.0,Manual,Diesel,February,2024,18,United Kingdom
125000.0,LAND ROVER,RANGE ROVER EVOQUE,11.0,180000.0,Automatic,Diesel,February,2024,12,United Kingdom
385000.0,LAND ROVER,RANGE ROVER VELAR P250,15.0,2000.0,Automatic,Gasoline,February,2024,1,United Kingdom
130000.0,LAND ROVER,RANGE ROVER SPORT,13.0,174000.0,Automatic,Diesel,February,2024,16,United Kingdom
145000.0,LAND ROVER,DISCOVERY SPORT,15.0,115000.0,Automatic,Gasoline,February,2024,10,United Kingdom
445000.0,LAND ROVER,RANGE ROVER SPORT P400E,17.0,40000.0,Automatic,Hybrid,February,2024,4,United Kingdom
340000.0,LAND ROVER,RANGE ROVER SPORT P400E,17.0,80000.0,Automatic,Hybrid,February,2024,4,United Kingdom
153000.0,LAND ROVER,DISCOVERY SPORT,16.0,103000.0,Automatic,Diesel,February,2024,10,United Kingdom
340000.0,LAND ROVER,RANGE ROVER SPORT,17.0,82000.0,Automatic,Gasoline,February,2024,5,United Kingdom
189000.0,LAND ROVER,RANGE ROVER SUPERCHARGED,32.0,55000.0,Automatic,Gasoline,February,2024,14,United Kingdom
200000.0,LAND ROVER,DISCOVERY SPORT,8.0,58000.0,Automatic,Diesel,February,2024,5,United Kingdom
69000.0,LAND ROVER,FREELANDER 2,11.0,180000.0,Automatic,Diesel,February,2024,15,United Kingdom
126000.0,LAND ROVER,DISCOVERY,8.0,130000.0,Automatic,Diesel,February,2024,7,United Kingdom
120000.0,LAND ROVER,DISCOVERY,15.0,170000.0,Automatic,Gasoline,February,2024,9,United Kingdom
110000.0,LAND ROVER,RANGE ROVER EVOQUE,8.0,128000.0,Manual,Diesel,February,2024,9,United Kingdom
260000.0,LAND ROVER,DISCOVERY SPORT,8.0,80000.0,Automatic,Diesel,February,2024,4,United Kingdom
155000.0,LAND ROVER,RANGE ROVER EVOQUE DYNAMIC,8.0,118018.0,Automatic,Diesel,February,2024,8,United Kingdom
240000.0,LAND ROVER,RANGE ROVER EVOQUE R-DYNAMIC,8.0,61263.0,Automatic,Hybrid,February,2024,4,United Kingdom
215000.0,LAND ROVER,RANGE ROVER SPORT HSE-DYNAMIC,24.0,130000.0,Automatic,Gasoline,February,2024,8,United Kingdom
372000.0,LAND ROVER,DISCOVERY SE,16.0,3000.0,Automatic,Diesel,February,2024,6,United Kingdom
380000.0,LAND ROVER,RANGE ROVER VELAR,15.0,50000.0,Automatic,Diesel,February,2024,3,United Kingdom
275000.0,LAND ROVER,RANGE ROVER SPORT AUTOBIOGRAPHY,16.0,95000.0,Automatic,Diesel,February,2024,7,United Kingdom
240000.0,LAND ROVER,RANGE ROVER SPORT,19.0,114000.0,Automatic,Diesel,February,2024,9,United Kingdom
240000.0,LAND ROVER,RANGE ROVER VELAR,16.0,84000.0,Automatic,Gasoline,February,2024,6,United Kingdom
55000.0,LAND ROVER,RANGE ROVER SPORT,32.0,150000.0,Automatic,Gasoline,January,2024,15,United Kingdom
285000.0,LAND ROVER,RANGE ROVER VELAR,14.0,80000.0,Automatic,Diesel,February,2024,6,United Kingdom
290000.0,LAND ROVER,RANGE ROVER VELAR,20.0,50000.0,Automatic,Gasoline,February,2024,6,United Kingdom
250000.0,LAND ROVER,RANGE ROVER EVOQUE HSE D180,11.0,49000.0,Automatic,Hybrid,February,2024,4,United Kingdom
135000.0,LAND ROVER,DISCOVERY SPORT,8.0,140000.0,Automatic,Diesel,February,2024,7,United Kingdom
350000.0,LAND ROVER,RANGE ROVER VELAR R-DYNAMIC,19.0,100000.0,Automatic,Diesel,February,2024,5,United Kingdom
380000.0,LAND ROVER,RANGE ROVER SPORT,22.0,57000.0,Automatic,Hybrid,February,2024,4,United Kingdom
275000.0,LAND ROVER,RANGE ROVER SPORT SPORT,16.0,90000.0,Automatic,Diesel,February,2024,7,United Kingdom
121000.0,LAND ROVER,RANGE ROVER EVOQUE,11.0,176000.0,Automatic,Diesel,January,2024,10,United Kingdom
69000.0,JAGUAR,XF,15.0,116000.0,Automatic,Gasoline,November,2023,10,United Kingdom
39500.0,JAGUAR,XF,16.0,246000.0,Automatic,Gasoline,December,2023,14,United Kingdom
70000.0,JAGUAR,XF,13.0,100000.0,Automatic,Diesel,September,2023,14,United Kingdom
45000.0,JAGUAR,XF,21.0,70000.0,Automatic,Gasoline,July,2023,16,United Kingdom
